code,TP,FP,FN,TN,precision,recall,specificity,f1,accuracy,balanced_accuracy,support_true,support_pred
C9_Regulatory_Mandatory_action_plan,60,3,0,5,0.9523809523809372,0.9999999999999833,0.6249999999999218,0.9756097560970454,0.9558823529411625,0.8124999999999526,60,63
AN : 3. Downstream,62,5,0,1,0.9253731343283444,0.9999999999999838,0.16666666666663887,0.9612403100770052,0.9264705882352806,0.5833333333333113,62,67
"C9_Soft_Assessment,_monitoring_and_evaluation",59,7,0,2,0.8939393939393805,0.999999999999983,0.22222222222219754,0.9439999999994865,0.8970588235293987,0.6111111111110903,59,66
C9_Regulatory_Ban,52,6,1,9,0.8965517241379155,0.9811320754716796,0.59999999999996,0.9369369369364209,0.8970588235293987,0.7905660377358198,53,58
O : C5 Objectives - protect biodiversity and (marine) environment,59,9,0,0,0.8676470588235167,0.999999999999983,0.0,0.9291338582672043,0.8676470588235167,0.4999999999999915,59,68
P : Mentioned,59,9,0,0,0.8676470588235167,0.999999999999983,0.0,0.9291338582672043,0.8676470588235167,0.4999999999999915,59,68
AM : 2. Midstream,58,9,1,0,0.865671641791032,0.9830508474576104,0.0,0.9206349206344079,0.8529411764705758,0.4915254237288052,59,67
AO : 4. Cross value chain,55,0,10,3,0.9999999999999818,0.8461538461538332,0.9999999999996666,0.9166666666661548,0.8529411764705758,0.9230769230767499,65,55
L : C4 Objectives - protect human health,52,12,0,4,0.8124999999999873,0.9999999999999807,0.2499999999999844,0.8965517241374209,0.8235294117646939,0.6249999999999826,52,64
M : Mentioned,52,12,0,4,0.8124999999999873,0.9999999999999807,0.2499999999999844,0.8965517241374209,0.8235294117646939,0.6249999999999826,52,64
C9_Economic_Public_procurement,4,1,0,63,0.79999999999984,0.99999999999975,0.9843749999999847,0.8888888888881974,0.9852941176470444,0.9921874999998673,4,5
C9_Economic_Tax_incentive,19,4,1,44,0.8260869565217033,0.9499999999999525,0.9166666666666475,0.8837209302320195,0.9264705882352806,0.9333333333333,20,23
C9_Regulatory_Mandatory_reports,49,14,0,5,0.7777777777777654,0.9999999999999796,0.26315789473682827,0.8749999999994922,0.7941176470588119,0.6315789473684039,49,63
C9_Regulatory_EPR,35,11,1,21,0.7608695652173747,0.9722222222221951,0.6562499999999795,0.8536585365848522,0.8235294117646939,0.8142361111110873,36,46
C9_Regulatory_Performance_standard,46,11,5,6,0.807017543859635,0.9019607843137077,0.3529411764705675,0.8518518518513375,0.76470588235293,0.6274509803921376,51,57
C9_Regulatory_Moratorium,8,3,0,57,0.7272727272726611,0.999999999999875,0.9499999999999842,0.8421052631573185,0.9558823529411625,0.9749999999999296,8,11
AL : 1. Upstream,45,18,0,5,0.714285714285703,0.9999999999999777,0.21739130434781664,0.8333333333328317,0.7352941176470481,0.6086956521738972,45,63
A : C1 Objectives - end plastic pollution,48,20,0,0,0.7058823529411662,0.9999999999999791,0.0,0.8275862068960523,0.7058823529411662,0.49999999999998956,48,68
C9_Soft_Education_programs,41,18,0,9,0.6949152542372763,0.9999999999999756,0.333333333333321,0.8199999999994997,0.7352941176470481,0.6666666666666483,41,59
C9_Regulatory_Mandatory_labelling,25,11,1,31,0.6944444444444251,0.9615384615384246,0.7380952380952205,0.8064516129027127,0.8235294117646939,0.8498168498168226,26,36
Z : C6 Objectives - addressing the full life cycle of plastics,45,21,1,1,0.6818181818181716,0.9782608695651961,0.045454545454543395,0.8035714285709301,0.6764705882352843,0.5118577075098697,46,66
C9_Regulatory_Requirements_and_surveillance_in_trade_systems,28,13,1,26,0.682926829268276,0.9655172413792771,0.6666666666666495,0.7999999999994917,0.7941176470588119,0.8160919540229633,29,41
AA : Mentioned,39,26,0,3,0.5999999999999908,0.9999999999999744,0.1034482758620654,0.7499999999995168,0.6176470588235203,0.5517241379310198,39,65
C9_Soft_Promotion_of_RandI,40,27,0,1,0.5970149253731255,0.9999999999999749,0.03571428571428444,0.747663551401387,0.6029411764705794,0.5178571428571297,40,67
"C : Mentioned, no time frame",37,20,5,6,0.6491228070175324,0.88095238095236,0.2307692307692219,0.7474747474742438,0.6323529411764613,0.5558608058607909,42,57
K : Not mentioned,32,0,27,9,0.9999999999999687,0.542372881355923,0.9999999999998889,0.7032967032962317,0.6029411764705794,0.7711864406779059,59,32
B : Mentioned with time frame,6,5,1,56,0.5454545454544959,0.8571428571427346,0.9180327868852308,0.6666666666661172,0.9117647058823396,0.8875878220139828,7,11
C9_Economic_Deposit_systems,7,5,2,54,0.5833333333332847,0.7777777777776913,0.91525423728812,0.6666666666661133,0.8970588235293987,0.8465160075329057,9,12
